,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,1,3,0,0,1,1,1,2,3,1,0,1
1,1,3,0,2,3,3,3,2,0,2,1,1
2,1,3,0,2,3,2,2,2,1,2,1,1
3,3,0,3,0,1,2,2,3,0,1,1,1
4,1,3,0,0,1,1,1,2,3,1,0,1
5,1,3,0,0,1,1,2,2,3,1,0,1
6,1,2,0,0,0,2,2,1,1,0,0,1
7,1,3,0,0,0,2,0,0,2,0,1,2
8,1,2,0,1,1,1,0,2,2,1,0,2
9,1,1,2,3,1,2,3,2,2,3,2,1
10,0,2,0,0,3,2,3,1,1,0,0,1
11,1,1,2,3,1,2,3,2,2,3,2,1
12,0,2,0,0,2,2,2,0,3,0,1,1
13,1,2,2,0,3,1,1,2,1,3,0,1
14,2,2,1,3,3,3,3,3,0,3,0,1
15,2,2,1,3,3,3,3,3,0,3,0,1
16,2,0,3,0,3,3,3,2,1,3,2,2
17,2,2,2,0,3,2,2,2,0,3,0,1
18,1,2,0,3,2,0,1,2,2,0,0,0
19,1,0,3,0,3,2,2,2,0,3,0,1
20,2,0,3,0,1,3,2,2,2,0,0,1
21,1,0,2,2,2,3,3,3,3,2,1,1
22,1,1,1,0,3,1,1,1,0,3,0,1
23,2,1,1,2,2,1,3,2,0,0,0,1
24,0,1,1,2,2,2,2,2,3,2,1,1
25,0,0,1,0,2,1,1,0,2,1,0,1
26,1,1,1,0,2,0,0,1,1,1,0,1
27,1,1,1,0,3,1,1,1,0,3,0,1
28,0,3,0,0,2,1,1,2,3,0,0,1
29,1,3,0,1,2,1,0,1,2,1,1,1
30,0,3,0,2,2,2,3,1,2,0,1,1
31,0,3,0,2,3,3,1,1,3,1,2,1
32,2,3,1,2,2,2,3,1,0,2,1,1
33,0,2,1,3,1,3,3,3,3,0,0,1
34,0,0,1,0,3,1,2,1,2,0,0,1
35,1,3,0,3,2,0,0,3,2,0,1,1
36,1,2,1,2,2,0,0,2,3,1,2,1
